               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.090946,            0.011043,            0.029898,             0.16399,               0.975,             0.20661,            0.071868,            0.079395,            0.010092,            0.024195,            0.009307,            0.009307,            0.009307
                  37,            0.092274,            0.011391,            0.030205,             0.16133,                   1,             0.18594,            0.099746,            0.077636,            0.009142,            0.022813,           0.0092872,           0.0092872,           0.0092872
                  38,            0.088428,            0.011373,            0.029159,             0.10697,                0.85,             0.17146,            0.045662,            0.071506,           0.0092102,            0.022321,           0.0092674,           0.0092674,           0.0092674
                  39,             0.08583,            0.012877,            0.029451,             0.23187,             0.44575,             0.22938,            0.088748,            0.056297,           0.0097124,            0.021681,           0.0092476,           0.0092476,           0.0092476
                  40,            0.077351,            0.012816,            0.030542,             0.23187,             0.44575,             0.22938,            0.088748,            0.056297,           0.0097124,            0.021681,           0.0092278,           0.0092278,           0.0092278
                  41,            0.069919,            0.013809,            0.030995,             0.68723,               0.475,             0.38038,             0.12608,            0.052497,           0.0096442,            0.021538,            0.009208,            0.009208,            0.009208
                  42,            0.076063,            0.015301,            0.029722,             0.28726,               0.725,             0.43139,             0.14753,            0.053451,           0.0094263,            0.021271,           0.0091882,           0.0091882,           0.0091882
                  43,            0.069984,            0.014611,             0.02979,             0.37614,             0.96148,             0.48207,             0.27772,            0.049933,            0.010271,            0.021863,           0.0091684,           0.0091684,           0.0091684
                  44,            0.065268,            0.012889,            0.028378,             0.37614,             0.96148,             0.48207,             0.27772,            0.049933,            0.010271,            0.021863,           0.0091486,           0.0091486,           0.0091486
                  45,            0.065566,            0.017739,            0.028065,              0.3677,             0.99694,             0.57171,             0.30104,            0.050091,             0.01081,            0.022689,           0.0091288,           0.0091288,           0.0091288
                  46,            0.063672,            0.016779,            0.027102,             0.38624,             0.92979,             0.74407,             0.40621,            0.054307,             0.01086,            0.023715,            0.009109,            0.009109,            0.009109
                  47,            0.064881,            0.013967,            0.025323,             0.36217,                   1,             0.73117,             0.44982,             0.05698,            0.010403,            0.022509,           0.0090892,           0.0090892,           0.0090892
                  48,            0.074747,            0.013561,            0.026928,             0.36217,                   1,             0.73117,             0.44982,             0.05698,            0.010403,            0.022509,           0.0090694,           0.0090694,           0.0090694
                  49,            0.068956,            0.013466,            0.026094,             0.38673,               0.975,             0.73693,             0.34814,            0.051947,            0.010181,            0.022464,           0.0090496,           0.0090496,           0.0090496
                  50,            0.070353,            0.012665,            0.028025,             0.24137,             0.72079,             0.32559,            0.057258,            0.067011,            0.010151,            0.021237,           0.0090298,           0.0090298,           0.0090298
                  51,            0.067795,            0.012442,            0.024504,             0.23243,               0.725,             0.61818,             0.17848,             0.05698,            0.008445,            0.019611,             0.00901,             0.00901,             0.00901
                  52,             0.06863,            0.012302,            0.023687,             0.23243,               0.725,             0.61818,             0.17848,             0.05698,            0.008445,            0.019611,           0.0089902,           0.0089902,           0.0089902
                  53,            0.067965,            0.012888,            0.026024,             0.84906,                 0.5,             0.58131,             0.18677,            0.051313,           0.0082447,            0.018938,           0.0089704,           0.0089704,           0.0089704
                  54,            0.060175,            0.011586,            0.023453,             0.29227,                 0.9,             0.36391,             0.20798,            0.060335,           0.0075533,            0.018555,           0.0089506,           0.0089506,           0.0089506
                  55,            0.070591,             0.01317,            0.022576,             0.53138,               0.925,             0.82741,             0.38352,            0.042163,           0.0073594,            0.016998,           0.0089308,           0.0089308,           0.0089308
                  56,            0.067491,            0.014159,            0.022976,             0.53138,               0.925,             0.82741,             0.38352,            0.042163,           0.0073594,            0.016998,            0.008911,            0.008911,            0.008911
                  57,            0.062243,            0.015012,            0.023836,             0.60128,               0.925,             0.93928,             0.54918,            0.040928,            0.007096,            0.016816,           0.0088912,           0.0088912,           0.0088912
                  58,            0.057371,            0.014187,            0.021515,             0.71303,             0.99621,             0.92071,             0.52464,            0.042682,            0.006744,            0.017097,           0.0088714,           0.0088714,           0.0088714
                  59,            0.057176,            0.013323,             0.02202,             0.88015,             0.94804,             0.98363,             0.49434,            0.038948,           0.0067654,            0.015862,           0.0088516,           0.0088516,           0.0088516
                  60,            0.062068,            0.011313,            0.021305,             0.88015,             0.94804,             0.98363,             0.49434,            0.038948,           0.0067654,            0.015862,           0.0088318,           0.0088318,           0.0088318
                  61,            0.059023,            0.013518,            0.021418,             0.81837,             0.94315,              0.9545,             0.47342,            0.040684,            0.006548,            0.015461,            0.008812,            0.008812,            0.008812
